climate_cell,cell_ID,RCNII,X_L93,Y_L93
5,79423,67.5,-256997,277442
5,79424,67.5,-256997,277942
5,79425,67.5,-256997,278442
6,74414,23.5,-263997,278942
6,74415,100,-263997,279442
6,74416,100,-263997,279942
6,74417,100,-263997,280442
6,74418,67.5,-263997,280942
6,74419,79,-263997,281442
6,74420,79,-263997,281942
6,74421,79,-263997,282442
6,74422,79,-263997,282942
6,74423,79,-263997,283442
6,74424,67.5,-263997,283942
6,74425,74,-263997,284442
6,74426,67.5,-263997,284942
6,74427,67.5,-263997,285442
6,74428,67.5,-263997,285942
6,74429,67.5,-263997,286442
6,74430,67.5,-263997,286942
6,74431,67.5,-263997,287442
6,74432,67.5,-263997,287942
6,74433,67.5,-263997,288442
6,74434,54,-263997,288942
6,74767,39,-263497,278942
6,74768,23.5,-263497,279442
6,74769,23.5,-263497,279942
6,74770,100,-263497,280442
6,74771,67.5,-263497,280942
6,74772,79,-263497,281442
6,74773,79,-263497,281942
6,74774,79,-263497,282442
6,74775,79,-263497,282942
6,74776,67.5,-263497,283442
6,74777,67.5,-263497,283942
6,74778,67.5,-263497,284442
6,74779,67.5,-263497,284942
6,74780,67.5,-263497,285442
6,74781,67.5,-263497,285942
6,74782,67.5,-263497,286442
6,74783,79,-263497,286942
6,74784,79,-263497,287442
6,74785,79,-263497,287942
6,74786,79,-263497,288442
6,75121,23.5,-262997,278942
6,75122,100,-262997,279442
6,75123,100,-262997,279942
6,75124,100,-262997,280442
6,75125,67.5,-262997,280942
6,75126,79,-262997,281442
6,75127,79,-262997,281942
6,75128,79,-262997,282442
6,75129,79,-262997,282942
6,75130,79,-262997,283442
6,75131,67.5,-262997,283942
6,75132,67.5,-262997,284442
6,75133,67.5,-262997,284942
6,75134,100,-262997,285442
6,75135,67.5,-262997,285942
6,75136,67.5,-262997,286442
6,75137,67.5,-262997,286942
6,75138,79,-262997,287442
6,75139,79,-262997,287942
6,75475,100,-262497,278942
6,75476,23.5,-262497,279442
6,75477,23.5,-262497,279942
6,75478,23.5,-262497,280442
6,75479,67.5,-262497,280942
6,75480,79,-262497,281442
6,75481,67.5,-262497,281942
6,75482,67.5,-262497,282442
6,75483,67.5,-262497,282942
6,75484,67.5,-262497,283442
6,75485,67.5,-262497,283942
6,75486,67.5,-262497,284442
6,75487,67.5,-262497,284942
6,75488,67.5,-262497,285442
6,75489,67.5,-262497,285942
6,75490,67.5,-262497,286442
6,75491,79,-262497,286942
6,75492,79,-262497,287442
6,75493,79,-262497,287942
6,75829,23.5,-261997,278942
6,75830,23.5,-261997,279442
6,75831,23.5,-261997,279942
6,75832,67.5,-261997,280442
6,75833,67.5,-261997,280942
6,75834,67.5,-261997,281442
6,75835,67.5,-261997,281942
6,75836,67.5,-261997,282442
6,75837,67.5,-261997,282942
6,75838,67.5,-261997,283442
6,75839,67.5,-261997,283942
6,75840,100,-261997,284442
6,75841,100,-261997,284942
6,75842,67.5,-261997,285442
6,75843,67.5,-261997,285942
6,75844,67.5,-261997,286442
6,75845,79,-261997,286942
6,75846,79,-261997,287442
6,76184,100,-261497,278942
6,76185,23.5,-261497,279442
6,76186,23.5,-261497,279942
6,76187,79,-261497,280442
6,76188,67.5,-261497,280942
6,76189,67.5,-261497,281442
6,76190,67.5,-261497,281942
6,76191,100,-261497,282442
6,76192,67.5,-261497,282942
6,76193,67.5,-261497,283442
6,76194,67.5,-261497,283942
6,76195,67.5,-261497,284442
6,76196,74,-261497,284942
6,76197,67.5,-261497,285442
6,76198,67.5,-261497,285942
6,76199,67.5,-261497,286442
6,76200,79,-261497,286942
6,76201,79,-261497,287442
6,76539,23.5,-260997,278942
6,76540,23.5,-260997,279442
6,76541,79,-260997,279942
6,76542,79,-260997,280442
6,76543,67.5,-260997,280942
6,76544,100,-260997,281442
6,76545,80,-260997,281942
6,76546,80,-260997,282442
6,76547,67.5,-260997,282942
6,76548,67.5,-260997,283442
6,76549,74,-260997,283942
6,76550,67.5,-260997,284442
6,76551,67.5,-260997,284942
6,76552,74,-260997,285442
6,76553,67.5,-260997,285942
6,76554,67.5,-260997,286442
6,76555,81.5,-260997,286942
6,76556,79,-260997,287442
6,76896,100,-260497,278942
6,76897,67.5,-260497,279442
6,76898,67.5,-260497,279942
6,76899,67.5,-260497,280442
6,76900,67.5,-260497,280942
6,76901,74,-260497,281442
6,76902,75.5,-260497,281942
6,76903,100,-260497,282442
6,76904,67.5,-260497,282942
6,76905,67.5,-260497,283442
6,76906,67.5,-260497,283942
6,76907,100,-260497,284442
6,76908,74,-260497,284942
6,76909,74,-260497,285442
6,76910,67.5,-260497,285942
6,76911,67.5,-260497,286442
6,76912,79,-260497,286942
6,76913,79,-260497,287442
6,77253,74,-259997,278942
6,77254,100,-259997,279442
6,77255,67.5,-259997,279942
6,77256,67.5,-259997,280442
6,77257,67.5,-259997,280942
6,77258,67.5,-259997,281442
6,77259,67.5,-259997,281942
6,77260,75.5,-259997,282442
6,77261,67.5,-259997,282942
6,77262,67.5,-259997,283442
6,77263,67.5,-259997,283942
6,77264,67.5,-259997,284442
6,77265,67.5,-259997,284942
6,77266,67.5,-259997,285442
6,77267,67.5,-259997,285942
6,77268,67.5,-259997,286442
6,77269,67.5,-259997,286942
6,77613,67.5,-259497,278942
6,77614,67.5,-259497,279442
6,77615,67.5,-259497,279942
6,77616,67.5,-259497,280442
6,77617,74,-259497,280942
6,77618,67.5,-259497,281442
6,77619,100,-259497,281942
6,77620,67.5,-259497,282442
6,77621,74,-259497,282942
6,77622,74,-259497,283442
6,77623,67.5,-259497,283942
6,77624,67.5,-259497,284442
6,77625,100,-259497,284942
6,77626,67.5,-259497,285442
6,77627,67.5,-259497,285942
6,77628,67.5,-259497,286442
6,77629,79,-259497,286942
6,77974,67.5,-258997,278942
6,77975,67.5,-258997,279442
6,77976,100,-258997,279942
6,77977,67.5,-258997,280442
6,77978,67.5,-258997,280942
6,77979,100,-258997,281442
6,77980,100,-258997,281942
6,77981,100,-258997,282442
6,77982,74,-258997,282942
6,77985,100,-258997,284442
6,77986,74,-258997,284942
6,77987,67.5,-258997,285442
6,77988,67.5,-258997,285942
6,77989,67.5,-258997,286442
6,77990,67.5,-258997,286942
6,78336,67.5,-258497,278942
6,78337,100,-258497,279442
6,78338,67.5,-258497,279942
6,78339,67.5,-258497,280442
6,78340,74,-258497,280942
6,78341,67.5,-258497,281442
6,78342,67.5,-258497,281942
6,78348,74,-258497,284942
6,78349,67.5,-258497,285442
6,78350,100,-258497,285942
6,78351,67.5,-258497,286442
6,78352,100,-258497,286942
6,78699,67.5,-257997,278942
6,78700,67.5,-257997,279442
6,78701,74,-257997,279942
6,78702,67.5,-257997,280442
6,78703,74,-257997,280942
6,78704,100,-257997,281442
6,78705,67.5,-257997,281942
6,79062,67.5,-257497,278942
6,79063,67.5,-257497,279442
6,79064,67.5,-257497,279942
6,79065,67.5,-257497,280442
6,79066,67.5,-257497,280942
6,79067,67.5,-257497,281442
6,79426,67.5,-256997,278942
6,79427,67.5,-256997,279442
6,79428,67.5,-256997,279942
6,79429,67.5,-256997,280442
6,79430,74,-256997,280942
7,68517,100,-272497,266442
7,68518,100,-272497,266942
7,68519,100,-272497,267442
7,68857,100,-271997,265942
7,68858,67.5,-271997,266442
7,68859,100,-271997,266942
7,68860,67.5,-271997,267442
7,68861,100,-271997,267942
7,69199,74,-271497,265942
7,69200,100,-271497,266442
7,69201,67.5,-271497,266942
7,69202,79,-271497,267442
7,69203,67.5,-271497,267942
7,69541,67.5,-270997,265942
7,69542,67.5,-270997,266442
7,69543,67.5,-270997,266942
7,69544,79,-270997,267442
7,69545,100,-270997,267942
7,69882,67.5,-270497,265442
7,69883,100,-270497,265942
7,69884,100,-270497,266442
7,69885,100,-270497,266942
7,69886,100,-270497,267442
7,69887,100,-270497,267942
7,70224,67.5,-269997,265442
7,70225,100,-269997,265942
7,70226,100,-269997,266442
7,70227,100,-269997,266942
7,70228,100,-269997,267442
7,70229,100,-269997,267942
7,70565,100,-269497,265442
7,70566,100,-269497,265942
7,70567,100,-269497,266442
7,70568,100,-269497,266942
7,70569,61.5,-269497,267442
7,70570,72,-269497,267942
7,70906,23.5,-268997,265442
7,70907,23.5,-268997,265942
7,70908,23.5,-268997,266442
7,70909,61.5,-268997,266942
7,70910,72,-268997,267442
7,70911,72,-268997,267942
7,71247,100,-268497,264442
7,71248,23.5,-268497,264942
7,71249,100,-268497,265442
7,71250,23.5,-268497,265942
7,71251,100,-268497,266442
7,71252,54,-268497,266942
7,71253,72,-268497,267442
7,71591,23.5,-267997,264442
7,71592,23.5,-267997,264942
7,71593,100,-267997,265442
7,71594,23.5,-267997,265942
7,71595,72,-267997,266442
7,71596,72,-267997,266942
7,71597,72,-267997,267442
7,71936,61.5,-267497,264442
7,71937,61.5,-267497,264942
7,71938,23.5,-267497,265442
7,71939,54,-267497,265942
7,71940,54,-267497,266442
7,71941,72,-267497,266942
7,71942,72,-267497,267442
7,72283,23.5,-266997,264442
7,72284,61.5,-266997,264942
7,72285,61.5,-266997,265442
7,72286,54,-266997,265942
7,72287,72,-266997,266442
7,72288,72,-266997,266942
7,72289,23.5,-266997,267442
7,72630,100,-266497,263942
7,72631,23.5,-266497,264442
7,72632,23.5,-266497,264942
7,72633,72,-266497,265442
7,72634,54,-266497,265942
7,72635,72,-266497,266442
7,72636,72,-266497,266942
7,72637,61.5,-266497,267442
7,72977,23.5,-265997,263442
7,72978,23.5,-265997,263942
7,72979,61.5,-265997,264442
7,72980,61.5,-265997,264942
7,72981,72,-265997,265442
7,72982,72,-265997,265942
7,72983,54,-265997,266442
7,72984,23.5,-265997,266942
7,72985,23.5,-265997,267442
7,73328,23.5,-265497,263942
7,73329,66,-265497,264442
7,73330,72,-265497,264942
7,73331,54,-265497,265442
7,73332,54,-265497,265942
7,73333,23.5,-265497,266442
7,73334,23.5,-265497,266942
7,73335,61.5,-265497,267442
8,68862,100,-271997,268442
8,68863,100,-271997,268942
8,68876,85,-271997,275442
8,68877,67.5,-271997,275942
8,68878,67.5,-271997,276442
8,68879,72,-271997,276942
8,68880,72,-271997,277442
8,68881,23.5,-271997,277942
8,68882,23.5,-271997,278442
8,68883,61.5,-271997,278942
8,69204,100,-271497,268442
8,69205,100,-271497,268942
8,69206,100,-271497,269442
8,69207,23.5,-271497,269942
8,69216,100,-271497,274442
8,69217,79,-271497,274942
8,69218,79,-271497,275442
8,69219,67.5,-271497,275942
8,69220,100,-271497,276442
8,69221,67.5,-271497,276942
8,69222,23.5,-271497,277442
8,69223,100,-271497,277942
8,69224,100,-271497,278442
8,69225,61.5,-271497,278942
8,69546,81.5,-270997,268442
8,69547,100,-270997,268942
8,69548,23.5,-270997,269442
8,69549,100,-270997,269942
8,69550,100,-270997,270442
8,69551,23.5,-270997,270942
8,69552,100,-270997,271442
8,69553,54,-270997,271942
8,69558,67.5,-270997,274442
8,69559,67.5,-270997,274942
8,69560,72,-270997,275442
8,69561,54,-270997,275942
8,69562,67.5,-270997,276442
8,69563,66,-270997,276942
8,69564,23.5,-270997,277442
8,69565,66,-270997,277942
8,69566,100,-270997,278442
8,69567,61.5,-270997,278942
8,69888,100,-270497,268442
8,69889,100,-270497,268942
8,69890,23.5,-270497,269442
8,69891,39,-270497,269942
8,69892,23.5,-270497,270442
8,69893,54,-270497,270942
8,69894,54,-270497,271442
8,69895,54,-270497,271942
8,69897,67.5,-270497,272942
8,69898,67.5,-270497,273442
8,69899,67.5,-270497,273942
8,69900,67.5,-270497,274442
8,69901,67.5,-270497,274942
8,69902,54,-270497,275442
8,69903,72,-270497,275942
8,69904,61.5,-270497,276442
8,69905,23.5,-270497,276942
8,69906,23.5,-270497,277442
8,69907,100,-270497,277942
8,69908,66,-270497,278442
8,69909,100,-270497,278942
8,70230,100,-269997,268442
8,70231,61.5,-269997,268942
8,70232,67.5,-269997,269442
8,70233,79,-269997,269942
8,70234,72,-269997,270442
8,70235,72,-269997,270942
8,70236,72,-269997,271442
8,70237,54,-269997,271942
8,70238,61.5,-269997,272442
8,70239,85,-269997,272942
8,70240,100,-269997,273442
8,70241,67.5,-269997,273942
8,70242,23.5,-269997,274442
8,70243,100,-269997,274942
8,70244,23.5,-269997,275442
8,70245,39,-269997,275942
8,70246,23.5,-269997,276442
8,70247,23.5,-269997,276942
8,70248,67.5,-269997,277442
8,70249,67.5,-269997,277942
8,70250,67.5,-269997,278442
8,70251,79,-269997,278942
8,70571,54,-269497,268442
8,70572,72,-269497,268942
